TICKER;PRECO;SETOR;MÁXIMA;MÍNIMA;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
TECN3;3,01;Consumo Cíclico;3,22;1,95;2,72;4,45;0,61;0,34;54,62;16;13,62;3,78;4,04;0,23;0,04;0,61;0,69;-0,94;4,69;13,66;7,72;10,61;0,56;0,44;0,57;0,65;;1.248.361,92;4,95;0,68;0,06;214.845.831,45
TEKA3;8,23;Consumo Cíclico;8,23;8,09;;-0,03;0;0;17,92;-39,58;-58,02;-0,04;-4,81;-4,76;;0,02;0;0;0,04;-8,03;-14,01;7,54;-1,74;2,74;0,24;15,05;;816;-3.881,95;-311,65;0;5.837.280,05
TEKA4;13,1;Consumo Cíclico;28,39;10,01;;-0,04;0;0,01;17,92;-39,58;-58,02;-0,06;-4,81;-4,76;;0,02;0;-0,01;0,04;-8,03;-14,01;7,54;-1,74;2,74;0,24;15,05;;33.106,89;-3.881,95;-311,65;0;5.837.280,05
TELB3;20,7;Comunicações;36,76;13,60;;-54,62;1,08;0,44;-47,57;11,29;-8,86;42,89;17,1;-25,05;-0,63;4,84;1,4;-0,73;5,06;-1,97;-0,81;2,31;0,41;0,59;0,09;36,54;;135.131,47;19,46;-0,38;0,71;1.778.373.102,90
TELB4;15,05;Comunicações;16,46;7,05;;-39,21;0,77;0,32;-47,57;11,29;-8,86;30,79;17,1;-25,05;-0,63;3,48;1;-0,53;5,06;-1,97;-0,81;2,31;0,41;0,59;0,09;36,54;;222.952,11;19,46;-0,38;0,51;1.778.373.102,90
TEND3;8,05;Consumo Cíclico;8,02;3,79;;-1,27;1,24;0,2;12,17;-10,99;-26,45;-3,06;-5,87;-2,78;1,12;0,34;4,23;-0,35;1,12;-97,01;-15,72;-15,66;0,16;0,84;0,59;-17,27;;28.636.301,03;6,49;-6,29;0;844.144.950,14
TESA3;48;Consumo não Cíclico;-;-;;-13,3;1,62;0,52;15,86;9,39;-7,58;10,73;17,39;6,66;1,01;1,01;-11,1;-0,74;0,86;-12,18;-3,94;3,93;0,32;0,68;0,52;7,32;;;29,64;-3,61;0,83;1.389.696.672,00
TFCO4;10,59;Consumo Cíclico;13,50;8,32;1,76;100;29,17;17,29;57,4;21,59;17,03;78,85;13,52;0,22;0,08;17,02;37,03;-64,5;2,76;29,17;17,29;24,54;0,59;0,41;1,02;22,58;24,63;1.589.445,18;0,37;0,11;7,7;1.713.774.156,10
TGMA3;22,15;Bens Industriais;23,07;11,98;6,24;8,36;1,83;1,29;20,17;15,06;11,95;6,63;6,25;-0,35;-0,1;1;4,25;-2,52;2,68;21,86;15,48;17,29;0,71;0,29;1,3;4,8;11,03;3.409.021,89;12,13;2,65;0,13;1.456.024.304,90
TIET11;12,54;Utilidade Pública;-;-;;4,38;2,25;0,46;74,66;61,76;49,46;3,51;7,15;3,64;2,34;2,16;1.031,49;-0,52;1;51,45;10,47;13,16;0,2;0,72;0,21;-5,19;23,78;;5,57;2,87;0,02;5.004.795.800,93
TIET3;3,49;Utilidade Pública;-;-;;6,09;3,13;0,64;74,66;61,76;49,46;4,88;7,15;3,64;2,34;3,01;1.435,37;-0,72;1;51,45;10,47;13,16;0,2;0,72;0,21;-5,19;23,78;;1,11;0,57;0,03;5.004.795.800,93
TIET4;3,51;Utilidade Pública;-;-;;6,13;3,15;0,64;74,66;61,76;49,46;4,91;7,15;3,64;2,34;3,03;1.443,59;-0,72;1;51,45;10,47;13,16;0,2;0,72;0,21;-5,19;23,78;;1,11;0,57;0,03;5.004.795.800,93
TIMS3;14,37;Comunicações;14,46;10,53;5,87;20,66;1,37;0,61;50,24;14,46;7,48;10,68;12,48;1,8;0,23;1,54;-10;-0,74;0,74;6,65;2,96;8,85;0,45;0,55;0,4;5,81;6,33;95.568.090,50;10,42;0,69;-0,45;34.641.710.935,38
TKNO3;69,63;Materiais Básicos;-;-;5,44;5,85;0,76;0,57;21,69;15,82;11,77;4,35;2,98;-0,92;-0,16;0,69;1,53;-1,38;2,68;13,06;9,67;14,73;0,74;0,26;0,82;19,94;;;91,24;11,91;-0,12;183.988.128,63
TKNO4;54;Materiais Básicos;72,31;53,64;7,96;4,53;0,59;0,44;21,69;15,82;11,77;3,37;2,98;-0,92;-0,16;0,53;1,19;-1,07;2,68;13,06;9,67;14,73;0,74;0,26;0,82;19,94;;10.775,75;91,24;11,91;-0,09;183.988.128,63
TOTS3;29,37;Tecnologia da Informação;33,39;23,12;1,06;35,31;4,21;1,77;70,5;18,23;13,23;25,63;24,61;-1,19;-0,2;4,67;6,3;-4,14;1,96;11,91;5,01;8,59;0,42;0,55;0,38;11,23;40,71;136.018.531,47;6,98;0,83;0,89;18.231.591.166,74
TOYB3;2,29;Consumo Cíclico;-;-;;-43,94;-4,97;4,03;24,06;-10,7;-10,96;-45;-47,62;-0,63;;4,81;-5,93;-11,89;0,49;-11,31;-9,18;11,93;-0,81;1,81;0,84;-33,11;;;-0,46;-0,05;0,47;71.890.222,22
TOYB4;2,5;Consumo Cíclico;-;-;;-47,96;-5,43;4,4;24,06;-10,7;-10,96;-49,12;-47,62;-0,63;;5,26;-6,47;-12,98;0,49;-11,31;-9,18;11,93;-0,81;1,81;0,84;-33,11;;;-0,46;-0,05;0,52;71.890.222,22
TPIS3;3,38;Bens Industriais;7,06;2,98;;-3,68;0,18;0,05;26,3;17,54;-3,59;0,75;8,63;7,91;1,91;0,13;-0,39;-0,06;0,29;-4,95;-1,43;4,76;0,29;0,71;0,4;-5,55;;206.597,13;18,89;-0,94;0,01;144.320.000,00
TRAD3;0,98;Tecnologia da Informação;7,30;0,82;;-2,38;0,54;0,48;40,71;-132,55;-162,03;-2,91;-1,18;1,75;-0,33;3,85;2,05;-0,74;3,16;-22,86;-20,32;-19,11;0,89;0,11;0,13;;;1.009.605,13;1,78;-0,41;-0,01;274.544.195,24
TRIS3;4,73;Consumo Cíclico;5,36;2,77;2,88;10,38;0,69;0,34;27,61;33,12;10,19;3,2;5,5;2,38;0,51;1,06;0,64;-1,27;3,71;6,64;3,29;11,17;0,5;0,48;0,32;11,47;19,58;2.982.840,16;6,91;0,46;-0,99;869.637.727,08
TRPL3;30;Utilidade Pública;32,23;27,49;3,54;8,01;1,17;0,59;60,18;65,79;43,59;5,31;6,64;1,88;0,41;3,49;5,3;-0,7;3,15;14,59;7,31;12,84;0,5;0,49;0,17;15,07;12,57;54.409,89;25,68;3,75;-0,47;17.756.560.143,36
TRPL4;25,25;Utilidade Pública;25,20;21,40;4,21;6,73;0,98;0,49;60,18;65,79;43,59;4,46;6,64;1,88;0,41;2,93;4,46;-0,59;3,15;14,59;7,31;12,84;0,5;0,49;0,17;15,07;12,57;44.321.849,13;25,68;3,75;-0,39;17.756.560.143,36
TTEN3;12,24;Consumo não Cíclico;13,39;7,77;0,94;9,85;2,12;0,95;15,44;8,11;8,35;10,13;10,41;0,32;0,07;0,82;4;-3,08;1,52;21,55;9,62;13,61;0,45;0,55;1,15;;;13.615.282,00;5,77;1,24;0,23;6.074.248.316,93
TUPY3;25,5;Bens Industriais;30,41;19,82;4,68;6,39;1,18;0,37;18,67;7,58;5,41;4,56;7,3;2,78;0,72;0,35;1,18;-0,96;2,01;18,48;5,73;10,48;0,31;0,69;1,06;22,39;30,24;19.939.001,63;21,57;3,99;0,07;3.641.923.650,00
TXRX3;8,7;Consumo Cíclico;27,01;8,70;;-1.684,35;-0,11;0,15;29,51;14,06;-0,01;1,23;10,83;10,11;;0,17;-0,2;-0,32;0,4;-0,01;-0,01;-100,45;-1,38;2,38;0,88;20,12;;3.272,00;-78,32;-0,01;16,86;21.641.015,70
TXRX4;3,24;Consumo Cíclico;5,61;2,65;;-627,28;-0,04;0,06;29,51;14,06;-0,01;0,46;10,83;10,11;;0,06;-0,07;-0,12;0,4;-0,01;-0,01;-100,45;-1,38;2,38;0,88;20,12;;11.075,23;-78,32;-0,01;6,28;21.641.015,70
UCAS3;2,55;Consumo Cíclico;3,13;2,19;7,09;6,43;0,88;0,53;34,37;6,46;11,16;11,12;8,9;-2,39;-0,19;0,72;8,37;-0,88;1,19;13,7;8,25;6,03;0,6;0,4;0,74;9,24;;71.177,58;2,91;0,4;-0,34;171.824.546,40
UGPA3;16,91;Petróleo. Gás e Biocombustíveis;17,62;11,52;0,59;11,7;1,58;0,56;5,33;2,43;1,13;5,44;7,96;2,53;0,74;0,13;2,61;-1,03;1,87;13,54;4,76;11,85;0,35;0,63;4,22;12,42;0,46;136.587.890,79;10,66;1,44;0,31;18.802.344.346,26
UNIP3;67,74;Materiais Básicos;93,32;60,00;17,63;6,22;2,75;1,17;42,1;29,41;16,3;3,44;3,53;0,01;0,01;1,01;5,07;-2,05;2,14;44,27;18,75;34,14;0,42;0,57;1,15;19,21;30,2;1.169.835,26;24,62;10,9;-0,13;7.201.350.916,29
UNIP5;80,5;Materiais Básicos;106,07;71,43;16,4;7,39;3,27;1,38;42,1;29,41;16,3;4,09;3,53;0,01;0,01;1,2;6,02;-2,43;2,14;44,27;18,75;34,14;0,42;0,57;1,15;19,21;30,2;23.228,13;24,62;10,9;-0,16;7.201.350.916,29
UNIP6;71,63;Materiais Básicos;106,56;62,02;18,42;6,54;2,9;1,23;42,1;29,41;16,3;3,63;3,53;0,01;0,01;1,07;5,34;-2,16;2,14;44,27;18,75;34,14;0,42;0,57;1,15;19,21;30,2;18.817.808,05;24,62;10,9;-0,14;7.201.350.916,29
USIM3;7,12;Materiais Básicos;10,70;6,77;4,19;9,23;0,38;0,22;15,21;5,89;3,04;4,76;4,97;0,15;0,01;0,28;0,59;-0,45;3,9;4,1;2,41;3,28;0,59;0,34;0,79;24,78;32,96;3.131.325,53;18,87;0,77;-0,1;9.045.592.147,44
USIM5;7,32;Materiais Básicos;11,30;6,31;4,5;9,45;0,39;0,23;15,21;5,89;3,04;4,87;4,97;0,15;0,01;0,29;0,61;-0,46;3,9;4,1;2,41;3,28;0,59;0,34;0,79;24,78;32,96;87.415.984,68;18,87;0,77;-0,11;9.045.592.147,44
USIM6;14,8;Materiais Básicos;17,66;11,29;2,22;19,15;0,78;0,46;15,21;5,89;3,04;9,88;4,97;0,15;0,01;0,58;1,23;-0,93;3,9;4,1;2,41;3,28;0,59;0,34;0,79;24,78;32,96;2.384,00;18,87;0,77;-0,21;9.045.592.147,44
VALE3;66,18;Materiais Básicos;95,89;61,39;8,61;3,64;1,58;0,67;41,14;32,52;38,57;4,32;4,95;0,6;0,22;1,4;38,58;-0,81;1,12;43,44;18,53;23,96;0,43;0,56;0,48;15,85;36,13;1.871.163.160,39;41,79;18,15;-0,13;301.889.394.145,80
VAMO3;13,37;Bens Industriais;16,33;10,66;2,08;19,16;3,61;0,76;42,39;32,87;12,67;7,39;11,08;3,84;1,87;2,43;7,73;-1,07;1,51;18,83;3,96;13,36;0,21;0,79;0,31;64,03;54,74;69.539.675,16;3,71;0,7;0,33;13.453.221.366,40
VBBR3;16,53;Petróleo. Gás e Biocombustíveis;19,15;12,33;4,46;14,93;1,52;0,48;3,64;1,87;0,71;5,68;9,04;3,37;0,9;0,11;1,47;-1,03;2,57;10,19;3,21;10,53;0,32;0,68;4,53;16,5;2,35;206.520.467,03;10,9;1,11;-0,34;19.245.800.000,00
VIIA3;2,38;Consumo Cíclico;3,93;1,73;;-5,79;0,75;0,11;31,36;3,4;-2,13;3,63;11,42;7,8;1,61;0,12;-1,04;-0,2;0,8;-12,97;-1,92;0,78;0,15;0,85;0,9;3,76;;121.970.147,13;3,17;-0,41;-0,13;3.804.266.467,82
VITT3;11,37;Materiais Básicos;15,25;8,62;2,88;11,14;2,79;1,7;39,16;21,1;17,41;9,2;10,68;1,41;0,43;1,94;4,34;-5,12;2,43;24,99;15,29;17,61;0,61;0,38;0,88;;;2.524.810,76;4,11;1,03;0,35;1.650.786.694,78
VIVA3;25,23;Consumo Cíclico;27,54;19,00;1,44;16,86;3,52;2,07;69,27;20,03;18,63;15,68;15,42;-0,18;-0,04;3,14;5,77;-4,96;2,59;20,89;12,27;18,68;0,59;0,41;0,66;;;51.635.918,32;7,16;1,5;4,41;5.930.925.979,59
VIVR3;0,35;Consumo Cíclico;0,90;0,33;;-2,64;2,47;0,24;29,41;-49,76;-24,54;-1,3;-1,26;0,04;-0,08;0,65;2,88;-0,52;1,18;-93,31;-8,95;-125,02;0,1;0,9;0,36;83,05;;2.550.380,95;0,14;-0,13;0,05;82.174.572,20
VIVT3;41,69;Comunicações;50,78;35,47;5,36;16,64;1,01;0,57;42,96;13,84;8,43;10,13;12,11;2,02;0,2;1,4;-25,75;-0,69;0,89;6,05;3,42;6,88;0,56;0,44;0,41;2,14;-2,01;77.493.958,66;41,34;2,5;-0,53;69.020.968.769,19
VIVT4;45,34;Comunicações;-;-;;18,12;1,1;0,62;42,96;13,84;8,43;11,03;12,11;2,02;0,2;1,53;-28,04;-0,75;0,89;6,05;3,42;6,88;0,56;0,44;0,41;2,14;-2,01;;41,34;2,5;-0,58;69.020.968.769,19
VLID3;13,92;Bens Industriais;14,03;7,93;3,2;11,12;0,89;0,42;39,56;18,8;5,58;3,3;4,97;1,6;0,43;0,62;1,73;-0,86;1,89;7,98;3,75;13,26;0,47;0,52;0,67;3,6;29,8;4.968.876,50;15,63;1,25;0,09;1.158.803.070,00
VSPT3;4,99;Bens Industriais;-;-;;-0,3;0,37;0,11;1,81;-49,98;-72,56;-0,44;-0,93;-0,49;0,41;0,22;-2,8;-0,13;0,79;-122,98;-35,89;-67,96;0,29;0,71;0,49;7,49;;;13,4;-16,48;0;712.610.842,16
VSPT4;0;Bens Industriais;-;-;;0;0;0;1,81;-49,98;-72,56;0;-0,93;-0,49;0,41;0;0;0;0,79;-122,98;-35,89;-67,96;0,29;0,71;0,49;7,49;;;13,4;-16,48;0;712.610.842,16
VSTE3;16,43;Consumo Cíclico;16,80;1,39;0,7;15,44;1,83;1,14;63,44;20,55;11,01;8,27;9,35;1,08;0,24;1,7;9,15;-1,7;1,62;11,83;7,39;10,53;0,62;0,38;0,67;-3,13;-22,07;388.252,74;9,01;1,07;-0,14;1.864.738.630,56
VULC3;15,6;Consumo Cíclico;15,68;9,98;3,88;7,67;2,14;1,41;37,82;17,96;18,99;8,11;8,28;0,21;0,06;1,46;3,34;-4,01;2,87;27,85;18,4;19,88;0,66;0,34;0,97;14,97;21,47;7.548.389,63;7,29;2,03;0,19;3.811.701.782,00
VVEO3;17,16;Saúde;19,40;13,02;1,61;24,63;2,12;0,55;15,87;5,65;2,07;9,02;13,04;4,04;0,95;0,51;2,02;-1,26;1,92;8,61;2,23;8,98;0,26;0,74;1,08;;;6.244.354,03;8,1;0,7;-0,44;4.907.015.624,00
WEGE3;39,01;Bens Industriais;41,86;22,59;1,42;35,8;11,01;5,66;30,38;17,84;14,85;29,8;29,47;-0,4;-0,15;5,32;18,07;-18,66;1,82;30,74;15,81;24,36;0,51;0,47;1,06;25,71;31,96;245.120.096,97;3,54;1,09;1,67;164.031.187.361,84
WEST3;1,12;Consumo Cíclico;2,77;0,86;;-2,14;0,42;0,31;42,02;-35,21;-24,37;-1,48;-0,04;1,44;-0,41;0,52;0,71;-0,81;3,51;-19,57;-14,61;-27,66;0,75;0,25;0,6;367,94;;179.900,53;2,68;-0,52;-0,03;123.652.857,44
WHRL3;4,44;Consumo Cíclico;5,38;4,36;4,18;18,57;2,94;0,79;16,17;6,76;3,38;9,29;8,26;-1,07;-0,34;0,63;19,92;-2,63;1,06;15,83;4,23;18,48;0,27;0,73;1,25;12,32;-3,61;7.634,95;1,52;0,24;-0,32;6.760.926.413,72
WHRL4;4,54;Consumo Cíclico;5,65;4,33;4,53;18,82;2,98;0,8;16,17;6,76;3,38;9,42;8,26;-1,07;-0,34;0,64;20,19;-2,66;1,06;15,83;4,23;18,48;0,27;0,73;1,25;12,32;-3,61;25.347,76;1,52;0,24;-0,32;6.760.926.413,72
WIZC3;5,9;Financeiro e Outros;8,94;4,91;7,49;8,4;2,42;0,41;57,99;36,42;11,37;2,62;2,94;0,31;0,29;0,95;24,44;-0,52;1,09;28,86;4,92;21,99;0,17;0,59;0,43;12,37;-6,64;3.436.596,92;2,45;0,71;-0,28;953.047.400,72
WLMM3;19,6;Bens Industriais;27,26;18,85;5,83;5,82;1,11;0,82;13,1;7,72;5,71;4,31;4,78;0,07;0,02;0,33;2,11;-1,97;3,03;18,99;14,13;15,42;0,74;0,26;2,47;32,16;;10.010,00;17,72;3,37;0,25;780.798.393,00
WLMM4;22,98;Bens Industriais;31,52;14,98;5,47;6,83;1,3;0,96;13,1;7,72;5,71;5,05;4,78;0,07;0,02;0,39;2,47;-2,31;3,03;18,99;14,13;15,42;0,74;0,26;2,47;32,16;;32.325,37;17,72;3,37;0,29;780.798.393,00
YDUQ3;14,26;Consumo Cíclico;16,65;6,55;;303,6;1,42;0,46;57,39;15,09;0,31;6,24;12,2;5,93;1,35;0,94;4,27;-0,62;1,74;0,47;0,15;7,87;0,32;0,67;0,49;6,2;-49,08;52.260.655,18;10,03;0,05;-3,29;4.438.515.900,36
ZAMP3;3,97;Consumo Cíclico;8,80;3,72;;-13,87;0,77;0,27;64,65;2,54;-2,13;11,66;18,32;6,78;0,45;0,3;12,4;-0,35;1,11;-5,57;-1,97;3,13;0,35;0,65;0,92;15,36;;7.961.401,74;5,19;-0,29;0,31;1.093.161.124,59
