TICKER;PRECO;SETOR;MÁXIMA;MÍNIMA;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
RRRP3;30,62;Petróleo. Gás e Biocombustíveis;51,31;27,15;;13,67;1,45;0,78;45,02;10,71;23,66;30,21;32,05;1,74;0,08;3,23;22,84;-0,96;1,22;10,58;5,69;-2,55;0,54;0,45;0,24;118,19;;273.094.253,47;21,14;2,24;-0,05;6.232.759.426,08
RSID3;3,29;Consumo Cíclico;3,80;1,81;;-0,2;-0,06;0,1;51,02;497,47;590,52;-0,23;-2,39;-2,15;;;-0,06;-0,22;0,25;-28,9;-49,96;53,36;-1,73;2,73;-0,08;;;183.252,68;-57,85;-16,72;-0,02;66.600.000,00
RSUL3;0;Bens Industriais;-;-;;0;0;0;38,41;27,22;17,5;0;1,19;-0,36;-0,24;0;0;0;2,28;43,25;20,04;45,41;0,46;0,54;1,15;26,29;13,12;;26,49;11,46;0;163.749.555,94
RSUL4;66,78;Bens Industriais;81,30;51,73;4,36;5,83;2,52;1,17;38,41;27,22;17,5;3,75;1,19;-0,36;-0,24;1,02;3,97;-2,45;2,28;43,25;20,04;45,41;0,46;0,54;1,15;26,29;13,12;136.012,30;26,49;11,46;0,24;163.749.555,94
SANB11;29,44;Financeiro e Outros;31,81;25,01;6,03;9,52;0,99;0,11;17,98;10,05;12,22;11,57;11,49;;;1,16;;-0,11;;10,35;1,13;;0,11;0,89;0,09;10,04;5,38;46.777.795,61;29,88;3,09;-0,44;109.628.523.965,62
SANB3;13,75;Financeiro e Outros;15,26;11,69;6,15;8,88;0,92;0,1;17,98;10,05;12,22;10,8;11,49;;;1,09;;-0,1;;10,35;1,13;;0,11;0,89;0,09;10,04;5,38;1.533.669,53;14,94;1,55;-0,42;109.628.523.965,62
SANB4;15,65;Financeiro e Outros;16,78;13,27;5,94;10,12;1,05;0,11;17,98;10,05;12,22;12,3;11,49;;;1,24;;-0,12;;10,35;1,13;;0,11;0,89;0,09;10,04;5,38;1.896.799,39;14,94;1,55;-0,47;109.628.523.965,62
SAPR11;21,03;Utilidade Pública;21,10;15,80;6,9;5,39;0,7;0,37;58,36;32,27;20,61;3,44;5,59;2,15;0,44;1,11;7,01;-0,43;1,55;12,95;6,88;10,06;0,53;0,47;0,33;7,96;11,44;28.051.448,24;30,13;3,9;-1,5;6.356.130.412,91
SAPR3;4,07;Utilidade Pública;4,12;2,98;6,59;5,22;0,68;0,36;58,36;32,27;20,61;3,33;5,59;2,15;0,44;1,08;6,79;-0,42;1,55;12,95;6,88;10,06;0,53;0,47;0,33;7,96;11,44;1.252.863,29;6,03;0,78;-1,45;6.356.130.412,91
SAPR4;4,19;Utilidade Pública;4,21;3,23;7,03;5,38;0,7;0,37;58,36;32,27;20,61;3,44;5,59;2,15;0,44;1,11;7,01;-0,43;1,55;12,95;6,88;10,06;0,53;0,47;0,33;7,96;11,44;7.854.991,00;6,03;0,78;-1,5;6.356.130.412,91
